bgs,bgs (2),bgs (3),bgs (4),bgs (5),bgs (6),bgs (7),bgs (8),bgs (9),bgs (10),bgs (11),bgs (12),bgs (13),sp_wt,news-item,news-item (2),news-item (3),news-item (4),news-item (5),news-item (6),news-item (7),news-item (8),news-item (9),news-item (10),news-item (11),news-item (12),news-item (13)
黄海,辽宁,丹东,LNH06001,123.97,39.73,2020-10,7.83,8.42,0.60,0.293,0.021,0.018,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,LNH06002,123.70,39.70,2020-10,7.87,8.62,0.78,0.298,0.016,0.014
黄海,辽宁,丹东,LNH06003,123.64,39.50,2020-10,8.12,7.93,0.81,0.143,0.009,0.008,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,LNH06004,124.12,39.73,2020-10,8.04,9.29,2.18,0.255,0.007,0.037
黄海,辽宁,丹东,LNH06005,124.02,39.53,2020-10,8.12,9.02,1.13,0.107,0.002,0.034,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,LNH06006,123.65,39.80,2020-10,7.96,9.26,1.43,0.227,0.003,0.024
黄海,辽宁,丹东,LNH06007,123.92,39.82,2020-10,8.08,8.98,1.66,0.181,0.003,0.036,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,LNH06008,124.17,39.80,2020-10,8.01,9.45,1.82,0.395,0.009,0.041
黄海,辽宁,丹东,LNH06009,124.10,39.80,2020-10,8.03,9.51,2.05,0.278,0.007,0.037,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,LNH06010,123.78,39.81,2020-10,8.03,9.55,1.95,0.196,0.003,0.018
黄海,辽宁,丹东,LNH06011,123.83,39.61,2020-10,8.11,9.10,1.62,0.118,0.001,0.039,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,LNH06012,123.55,39.64,2020-10,8.05,9.17,1.50,0.173,0.004,0.027
渤海,辽宁,大连,LNB02002,121.25,39.79,2020-10,8.12,7.79,1.16,0.111,0.008,0.026,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02003,121.47,39.68,2020-10,8.12,8.66,0.84,0.149,0.011,0.022
渤海,辽宁,大连,LNB02005,121.71,39.35,2020-10,8.07,8.27,1.11,0.286,0.026,0.016,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02008,121.09,39.21,2020-10,7.93,7.41,1.32,0.095,0.015,0.021
渤海,辽宁,大连,LNB02013,120.85,38.68,2020-10,7.98,7.86,1.01,0.087,0.012,0.023,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02015,121.60,39.98,2020-10,8.07,10.01,1.13,0.100,0.002,0.018
渤海,辽宁,大连,LNB02016,121.22,39.59,2020-10,8.07,9.82,0.67,0.076,0.003,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02017,121.20,39.45,2020-10,8.08,9.58,0.84,0.064,0.003,0.022
渤海,辽宁,大连,LNB02018,121.39,39.31,2020-10,8.14,9.40,0.71,0.081,0.008,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02019,121.52,39.12,2020-10,8.09,9.37,0.84,0.137,0.010,0.006
渤海,辽宁,大连,LNB02020,121.21,38.99,2020-10,8.03,9.90,0.64,0.106,0.013,0.008,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02021,120.99,38.95,2020-10,8.07,9.42,0.68,0.044,0.002,0.014
渤海,辽宁,大连,LNB02022,121.07,38.80,2020-10,8.07,9.21,0.66,0.069,0.004,0.012,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02035,121.46,39.89,2020-10,8.06,10.25,1.08,0.084,0.003,0.020
渤海,辽宁,大连,LNB02036,121.11,38.75,2020-10,8.07,9.41,0.61,0.064,0.002,0.029,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,渤海,辽宁,大连,LNB02037,121.40,39.13,2020-10,8.06,9.71,0.66,0.088,0.008,0.006
