bgs,bgs (2),bgs (3),bgs (4),bgs (5),bgs (6),bgs (7),bgs (8),bgs (9),bgs (10),bgs (11),bgs (12),bgs (13),sp_wt,news-item,news-item (2),news-item (3),news-item (4),news-item (5),news-item (6),news-item (7),news-item (8),news-item (9),news-item (10),news-item (11),news-item (12),news-item (13)
黄海,辽宁,丹东,LNH06001,123.97,39.73,2024-11,8.25,9.21,0.84,0.109,未检出,0.010,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,LNH06002,123.70,39.70,2024-11,8.14,8.78,0.87,0.130,0.008,0.013
黄海,辽宁,丹东,LNH06003,123.65,39.49,2024-10,8.12,6.77,0.77,0.038,0.006,0.005,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,LNH06004,124.12,39.73,2024-11,8.14,9.09,0.88,0.278,0.003,0.009
黄海,辽宁,丹东,LNH06005,124.03,39.53,2024-10,8.10,6.49,0.71,0.060,0.007,0.007,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,三类,黄海,辽宁,丹东,LNH06006,123.65,39.80,2024-11,8.10,9.34,0.96,0.360,0.015,0.006
黄海,辽宁,丹东,LNH06007,123.93,39.81,2024-11,8.20,10.01,0.82,0.152,0.010,0.006,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,四类,黄海,辽宁,丹东,LNH06008,124.17,39.80,2024-11,8.00,8.86,0.76,0.487,0.016,0.009
黄海,辽宁,丹东,LNH06009,124.10,39.80,2024-11,7.92,9.19,1.08,0.697,0.026,0.015,劣四类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,黄海,辽宁,丹东,LNH06010,123.79,39.81,2024-11,8.10,9.83,0.77,0.238,0.008,0.014
黄海,辽宁,丹东,LNH06011,123.84,39.61,2024-10,8.07,6.59,0.61,0.085,0.012,0.005,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,一类,黄海,辽宁,丹东,LNH06012,123.56,39.64,2024-10,8.09,6.63,0.86,0.115,0.015,0.007
渤海,辽宁,大连,LNB02002,121.25,39.79,2024-10,8.01,7.36,0.77,0.174,0.011,0.007,一类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02003,121.47,39.68,2024-10,7.86,7.43,1.76,0.223,0.014,0.005
渤海,辽宁,大连,LNB02005,121.71,39.35,2024-10,8.05,8.55,1.23,0.287,0.030,0.002,二类,,,,,,,,,,,,,
,,,,,,,,,,,,,二类,渤海,辽宁,大连,LNB02008,121.09,39.21,2024-10,7.97,7.81,1.03,0.133,0.016,0.001
渤海,辽宁,大连,LNB02013,120.85,38.68,2024-10,7.95,7.20,0.54,0.076,0.010,未检出,一类,,,,,,,,,,,,,
